	CONTROLN	TARGET_B
0	177658	1
1	97648	1
2	116053	1
3	109240	0
4	93585	1
5	34413	0
6	84623	1
7	35277	0
8	175923	1
9	25908	1
10	50688	1
11	145204	0
12	10059	0
13	153414	0
14	176209	1
15	137352	1
16	64953	0
17	53153	1
18	15155	1
19	113805	0
20	104282	1
21	66791	1
22	39096	0
23	190823	0
24	62335	1
25	142284	1
26	29952	0
27	119830	1
28	13491	0
29	13996	1
30	90989	1
31	158883	0
32	22702	0
33	21017	0
34	115961	0
35	55231	1
36	182721	0
37	153395	1
38	156664	1
39	138897	0
40	146999	0
41	187863	1
42	120790	0
43	123179	0
44	126000	0
45	151791	0
46	174787	1
47	148761	0
48	79979	0
49	3520	0
50	142761	1
51	70786	1
52	149712	0
53	14901	1
54	113277	0
55	136095	0
56	94347	1
57	26186	0
58	179658	1
59	164984	1
60	98043	0
61	154184	0
62	894	0
63	128066	1
64	83072	0
65	15379	1
66	89966	1
67	161726	1
68	137932	1
69	133291	0
70	32156	1
71	109806	0
72	181605	1
73	170433	1
74	184708	0
75	25867	1
76	18644	0
77	137096	0
78	68257	0
79	112155	0
80	47342	1
81	30613	0
82	32364	0
83	65094	1
84	169417	1
85	76370	0
86	90861	1
87	31699	1
88	92416	0
89	106214	0
90	164933	0
91	23157	1
92	51566	1
93	5334	0
94	113845	0
95	97023	0
96	176638	0
97	12881	1
98	186479	0
99	10732	0
100	13134	0
101	9976	1
102	26987	1
103	37896	0
104	111940	0
105	83530	0
106	83265	1
107	136394	0
108	67899	0
109	79044	0
110	66760	1
111	129975	0
112	149205	0
113	36017	0
114	190842	1
115	134811	0
116	112500	0
117	104443	0
118	179338	0
119	117674	1
120	52694	0
121	92863	1
122	34772	1
123	180463	1
124	169679	1
125	169399	0
126	16639	0
127	50581	0
128	65144	0
129	121538	1
130	120620	0
131	72643	0
132	88575	0
133	144091	0
134	48702	0
135	52504	0
136	46944	1
137	57396	1
138	64674	1
139	78612	1
140	43320	0
141	111653	0
142	8690	1
143	77330	0
144	969	1
145	42931	0
146	51844	0
147	31104	0
148	22692	1
149	134412	1
150	143768	1
151	168181	1
152	7660	1
153	49169	0
154	172735	0
155	25129	0
156	171840	1
157	49526	0
158	170621	1
159	69188	0
160	37682	0
161	138950	1
162	11295	0
163	176574	0
164	110189	0
165	132535	1
166	15587	0
167	128498	0
168	86921	0
169	168171	0
170	187849	1
171	27240	1
172	154355	0
173	26682	0
174	5252	1
175	48137	0
176	52015	0
177	159765	1
178	10973	1
179	138392	0
180	63371	0
181	134619	1
182	152527	1
183	15522	0
184	124104	0
185	39808	1
186	38145	0
187	50864	1
188	63906	0
189	93570	0
190	71910	0
191	143167	0
192	163752	1
193	157692	1
194	10658	0
195	81284	1
196	48463	0
197	104811	1
198	26240	1
199	176973	0
200	168823	0
201	64128	0
202	34063	1
203	35232	0
204	59372	1
205	180723	1
206	105061	0
207	28353	0
208	2018	0
209	141108	0
210	101894	1
211	11836	0
212	122862	0
213	96819	1
214	68866	1
215	27466	0
216	75832	1
217	84975	1
218	46109	1
219	117084	0
220	120066	0
221	67490	1
222	129031	1
223	81022	0
224	52939	0
225	168122	0
226	124966	1
227	71802	1
228	134241	1
229	95754	0
230	92633	1
231	149285	1
232	147165	1
233	26029	1
234	14086	1
235	18764	0
236	46634	1
237	103860	0
238	161537	0
239	173697	0
240	81394	0
241	66423	0
242	52255	1
243	31700	0
244	41463	0
245	135579	1
246	16667	0
247	23640	0
248	81165	0
249	34255	1
250	158126	0
251	95647	0
252	183538	1
253	79921	1
254	84120	1
255	145745	1
256	33944	1
257	1508	0
258	170608	0
259	18143	0
260	110377	0
261	167945	0
262	129379	1
263	49516	0
264	141724	0
265	185646	0
266	7613	1
267	182086	1
268	125478	1
269	72039	0
270	182215	1
271	29178	0
272	24839	0
273	181087	1
274	163726	0
275	146815	1
276	65504	0
277	141481	1
278	17191	1
279	159726	0
280	183486	1
281	186880	0
282	190411	1
283	116954	0
284	163710	0
285	96724	1
286	92132	0
287	162957	0
288	125939	1
289	118807	0
290	16891	0
291	41172	1
292	123116	1
293	135828	0
294	48154	1
295	145128	0
296	44721	1
297	84903	0
298	165496	1
299	68631	0
300	174205	0
301	53398	0
302	139316	1
303	183245	1
304	153607	1
305	115594	0
306	161157	1
307	190876	0
308	103442	0
309	75407	0
310	188865	1
311	176881	1
312	11281	0
313	148427	0
314	75768	0
315	64273	0
316	122716	0
317	161682	1
318	60903	0
319	181677	0
320	190927	0
321	185925	1
322	176787	1
323	40421	0
324	43211	1
325	107318	0
326	146306	0
327	43610	0
328	40807	0
329	115007	1
330	104763	1
331	122202	0
332	89824	0
333	31591	0
334	63934	0
335	75279	0
336	65864	0
337	45982	1
338	82262	0
339	176746	1
340	22207	1
341	84666	0
342	81655	0
343	170511	0
344	61335	0
345	164733	1
346	72113	1
347	168722	1
348	45565	0
349	72984	0
350	18859	1
351	27083	1
352	179109	1
353	140830	1
354	136405	1
355	98998	0
356	44885	0
357	117168	1
358	4005	1
359	34632	1
360	109415	0
361	54390	0
362	110207	0
363	114373	1
364	19413	0
365	40955	0
366	65787	0
367	2185	1
368	178298	1
369	173461	1
370	132292	1
371	164954	1
372	7350	1
373	188244	1
374	14016	1
375	62653	0
376	166172	0
377	63579	0
378	24471	0
379	10150	0
380	18655	0
381	58938	0
382	82118	0
383	77337	1
384	188834	0
385	72070	0
386	126806	1
387	159979	1
388	122348	1
389	95118	0
390	86858	0
391	30700	1
392	15488	0
393	105575	0
394	137467	1
395	22673	1
